 -0.5324E+01 -0.1344E+02 -0.3216E+01  0.9052E+00 -0.1500E+03  0.1500E+03
 -0.3150E+01 -0.1091E+02 -0.3102E+01  0.8981E+00 -0.1368E+03  0.1368E+03
 -0.1472E+01 -0.8946E+01 -0.2993E+01  0.8936E+00 -0.1248E+03  0.1248E+03
 -0.7538E-01 -0.7280E+01 -0.2887E+01  0.8918E+00 -0.1138E+03  0.1138E+03
  0.1256E+01 -0.5647E+01 -0.2786E+01  0.8929E+00 -0.1038E+03  0.1038E+03
  0.2157E+01 -0.4530E+01 -0.2689E+01  0.8969E+00 -0.9464E+02  0.9464E+02
  0.2792E+01 -0.3716E+01 -0.2598E+01  0.9040E+00 -0.8632E+02  0.8632E+02
  0.3294E+01 -0.3037E+01 -0.2513E+01  0.9143E+00 -0.7872E+02  0.7872E+02
  0.3804E+01 -0.2311E+01 -0.2434E+01  0.9279E+00 -0.7179E+02  0.7179E+02
  0.3990E+01 -0.1997E+01 -0.2362E+01  0.9449E+00 -0.6548E+02  0.6548E+02
  0.4015E+01 -0.1874E+01 -0.2298E+01  0.9654E+00 -0.5972E+02  0.5972E+02
  0.3961E+01 -0.1830E+01 -0.2241E+01  0.9894E+00 -0.5446E+02  0.5446E+02
  0.3937E+01 -0.1719E+01 -0.2194E+01  0.1017E+01 -0.4967E+02  0.4967E+02
  0.3807E+01 -0.1742E+01 -0.2155E+01  0.1048E+01 -0.4530E+02  0.4530E+02
  0.3562E+01 -0.1908E+01 -0.2126E+01  0.1084E+01 -0.4131E+02  0.4131E+02
  0.3318E+01 -0.2053E+01 -0.2108E+01  0.1122E+01 -0.3768E+02  0.3768E+02
  0.3044E+01 -0.2228E+01 -0.2102E+01  0.1165E+01 -0.3436E+02  0.3436E+02
  0.2655E+01 -0.2557E+01 -0.2107E+01  0.1211E+01 -0.3134E+02  0.3134E+02
  0.2240E+01 -0.2908E+01 -0.2125E+01  0.1260E+01 -0.2858E+02  0.2858E+02
  0.1836E+01 -0.3227E+01 -0.2156E+01  0.1313E+01 -0.2607E+02  0.2607E+02
  0.1491E+01 -0.3453E+01 -0.2201E+01  0.1370E+01 -0.2377E+02  0.2377E+02
  0.1068E+01 -0.3770E+01 -0.2261E+01  0.1429E+01 -0.2168E+02  0.2168E+02
  0.6380E+00 -0.4078E+01 -0.2335E+01  0.1490E+01 -0.1977E+02  0.1977E+02
  0.2506E+00 -0.4317E+01 -0.2425E+01  0.1554E+01 -0.1803E+02  0.1803E+02
 -0.1748E+00 -0.4575E+01 -0.2530E+01  0.1619E+01 -0.1645E+02  0.1645E+02
 -0.5866E+00 -0.4796E+01 -0.2651E+01  0.1685E+01 -0.1500E+02  0.1500E+02
 -0.9815E+00 -0.4964E+01 -0.2786E+01  0.1751E+01 -0.1368E+02  0.1368E+02
 -0.1379E+01 -0.5097E+01 -0.2937E+01  0.1816E+01 -0.1248E+02  0.1248E+02
 -0.1764E+01 -0.5196E+01 -0.3100E+01  0.1880E+01 -0.1138E+02  0.1138E+02
 -0.2143E+01 -0.5240E+01 -0.3275E+01  0.1940E+01 -0.1038E+02  0.1038E+02
 -0.2505E+01 -0.5241E+01 -0.3460E+01  0.1996E+01 -0.9464E+01  0.9464E+01
 -0.2854E+01 -0.5185E+01 -0.3652E+01  0.2046E+01 -0.8632E+01  0.8632E+01
 -0.3180E+01 -0.5079E+01 -0.3847E+01  0.2089E+01 -0.7872E+01  0.7872E+01
 -0.3480E+01 -0.4924E+01 -0.4041E+01  0.2122E+01 -0.7179E+01  0.7179E+01
 -0.3747E+01 -0.4721E+01 -0.4230E+01  0.2145E+01 -0.6548E+01  0.6548E+01
 -0.3972E+01 -0.4475E+01 -0.4405E+01  0.2154E+01 -0.5972E+01  0.5972E+01
 -0.4151E+01 -0.4194E+01 -0.4561E+01  0.2148E+01 -0.5446E+01  0.5446E+01
 -0.4271E+01 -0.3885E+01 -0.4690E+01  0.2127E+01 -0.4967E+01  0.4967E+01
 -0.4324E+01 -0.3557E+01 -0.4783E+01  0.2087E+01 -0.4530E+01  0.4530E+01
 -0.4302E+01 -0.3217E+01 -0.4831E+01  0.2028E+01 -0.4131E+01  0.4131E+01
 -0.4201E+01 -0.2874E+01 -0.4826E+01  0.1950E+01 -0.3768E+01  0.3768E+01
 -0.4021E+01 -0.2535E+01 -0.4759E+01  0.1854E+01 -0.3436E+01  0.3436E+01
 -0.3760E+01 -0.2205E+01 -0.4625E+01  0.1739E+01 -0.3134E+01  0.3134E+01
 -0.3432E+01 -0.1889E+01 -0.4421E+01  0.1610E+01 -0.2858E+01  0.2858E+01
 -0.3045E+01 -0.1591E+01 -0.4148E+01  0.1470E+01 -0.2607E+01  0.2607E+01
 -0.2619E+01 -0.1317E+01 -0.3816E+01  0.1324E+01 -0.2377E+01  0.2377E+01
 -0.2180E+01 -0.1071E+01 -0.3438E+01  0.1179E+01 -0.2168E+01  0.2168E+01
 -0.1757E+01 -0.8591E+00 -0.3041E+01  0.1042E+01 -0.1977E+01  0.1977E+01
 -0.1379E+01 -0.6848E+00 -0.2654E+01  0.9186E+00 -0.1803E+01  0.1803E+01
 -0.1073E+01 -0.5483E+00 -0.2313E+01  0.8139E+00 -0.1645E+01  0.1645E+01
  0.6028E+01  0.5374E+01 -0.7674E+00  0.2918E+00 -0.1500E+01  0.1500E+01
 -0.2921E+02 -0.3928E+02 -0.3367E+01  0.9374E+00
 -0.2420E+02 -0.3377E+02 -0.3260E+01  0.9300E+00
 -0.1990E+02 -0.2895E+02 -0.3154E+01  0.9245E+00
 -0.1608E+02 -0.2473E+02 -0.3054E+01  0.9203E+00
 -0.1283E+02 -0.2109E+02 -0.2955E+01  0.9207E+00
 -0.1009E+02 -0.1800E+02 -0.2864E+01  0.9246E+00
 -0.7746E+01 -0.1535E+02 -0.2669E+01  0.8828E+00
 -0.5818E+01 -0.1313E+02 -0.2584E+01  0.8889E+00
 -0.4189E+01 -0.1125E+02 -0.2508E+01  0.9012E+00
 -0.2852E+01 -0.9680E+01 -0.2431E+01  0.9062E+00
 -0.1655E+01 -0.8277E+01 -0.2363E+01  0.9278E+00
 -0.8064E+00 -0.7232E+01 -0.2308E+01  0.9492E+00
 -0.1096E+00 -0.6365E+01 -0.2261E+01  0.9734E+00
  0.3897E+00 -0.5707E+01 -0.2213E+01  0.9960E+00
  0.7400E+00 -0.5201E+01 -0.2197E+01  0.1028E+01
  0.9604E+00 -0.4835E+01 -0.2159E+01  0.1058E+01
  0.1095E+01 -0.4564E+01 -0.2146E+01  0.1095E+01
  0.1114E+01 -0.4408E+01 -0.2139E+01  0.1132E+01
  0.1051E+01 -0.4337E+01 -0.2152E+01  0.1175E+01
  0.9627E+00 -0.4290E+01 -0.2166E+01  0.1218E+01
  0.7911E+00 -0.4317E+01 -0.2197E+01  0.1266E+01
  0.5756E+00 -0.4387E+01 -0.2240E+01  0.1314E+01
  0.2907E+00 -0.4505E+01 -0.2290E+01  0.1363E+01
  0.1994E-01 -0.4604E+01 -0.2359E+01  0.1418E+01
 -0.2802E+00 -0.4714E+01 -0.2435E+01  0.1469E+01
 -0.5745E+00 -0.4801E+01 -0.2526E+01  0.1523E+01
 -0.8978E+00 -0.4900E+01 -0.2719E+01  0.1622E+01
 -0.1236E+01 -0.4992E+01 -0.2829E+01  0.1674E+01
 -0.1578E+01 -0.5065E+01 -0.2955E+01  0.1727E+01
 -0.1904E+01 -0.5100E+01 -0.3081E+01  0.1775E+01
 -0.2236E+01 -0.5121E+01 -0.3224E+01  0.1823E+01
 -0.2562E+01 -0.5115E+01 -0.3368E+01  0.1865E+01
 -0.2863E+01 -0.5071E+01 -0.3519E+01  0.1904E+01
 -0.3274E+01 -0.5117E+01 -0.3668E+01  0.1936E+01
 -0.3519E+01 -0.5004E+01 -0.3812E+01  0.1961E+01
 -0.3748E+01 -0.4865E+01 -0.3951E+01  0.1978E+01
 -0.3948E+01 -0.4704E+01 -0.4080E+01  0.1986E+01
 -0.4108E+01 -0.4518E+01 -0.4197E+01  0.1984E+01
 -0.4250E+01 -0.4326E+01 -0.4298E+01  0.1973E+01
 -0.4337E+01 -0.4108E+01 -0.4375E+01  0.1951E+01
 -0.4373E+01 -0.3871E+01 -0.4429E+01  0.1918E+01
 -0.4366E+01 -0.3624E+01 -0.4455E+01  0.1874E+01
 -0.4309E+01 -0.3370E+01 -0.4446E+01  0.1817E+01
 -0.4179E+01 -0.3080E+01 -0.4405E+01  0.1751E+01
 -0.4031E+01 -0.2820E+01 -0.4324E+01  0.1674E+01
 -0.3836E+01 -0.2559E+01 -0.4204E+01  0.1587E+01
 -0.3609E+01 -0.2311E+01 -0.4040E+01  0.1491E+01
 -0.3299E+01 -0.2028E+01 -0.3832E+01  0.1387E+01
 -0.2958E+01 -0.1767E+01 -0.3573E+01  0.1273E+01
 -0.2547E+01 -0.1494E+01 -0.3252E+01  0.1149E+01
 -0.1916E+01 -0.1119E+01 -0.2799E+01  0.1000E+01
